account_name,account_type,state,active,erate_eligible,priority,ben
Lewisville ISD,School District,TX,Yes,Yes,1,140469
Irving ISD,School District,TX,Yes,Yes,1,140448
Keller ISD,School District,TX,Yes,Yes,1,140932
Coppell ISD,School District,TX,Yes,Yes,1,140450
Region 11 Education Service Center,Education Service Center,TX,Yes,Yes,1,17002993
Trinity River Authority,Government Utility,TX,Yes,No,2,
Responsive Education Solutions,School District,TX,Yes,Yes,1,232165
Burleson ISD,School District,TX,Yes,Yes,1,140849
Wichita Falls ISD,School District,TX,Yes,Yes,1,140959
Aledo ISD,School District,TX,Yes,Yes,1,140837
